;2019;;;2020;;;2021;;;2022;;;2023;;;2024;;
;Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone)
Oplotnica;1927,02;1304,33;100,41;1465,15;1226,98;133,27;1610,07;1486,89;106,54;1355,00;1153,35;80,68;1892,44;1352,26;65,89;1670,25;1481,50;79,20
Ormož;4808,84;3004,39;437,62;4059,20;3104,95;438,94;4025,76;3295,85;438,19;4177,48;3319,34;242,53;4014,35;3240,75;204,21;4122,93;3229,94;190,54
Osilnica;99,70;44,52;9,55;53,11;33,38;8,78;60,32;49,73;5,00;57,92;38,58;5,30;68,13;43,23;5,32;52,74;21,55;20,01
Pesnica;3176,66;2066,97;37,20;2758,74;2234,43;1,08;2602,75;2317,16;29,87;2666,93;2319,65;20,00;2958,45;2524,38;2,36;3148,73;2558,92;0,55
Piran/Pirano;11829,55;9162,09;642,86;10631,21;9015,40;920,20;13937,00;9420,43;825,50;12104,39;9938,42;753,20;12675,19;10757,41;793,67;13554,53;11571,83;681,53
Pivka;3273,24;2342,07;663,02;3096,47;2723,31;378,08;2825,16;2565,87;269,60;2482,28;2265,31;274,60;3017,49;2674,17;183,40;2585,57;2096,72;116,36
Podčetrtek;1429,23;911,48;75,41;969,18;731,68;57,71;1284,04;1018,18;56,91;1433,58;1009,30;61,37;1351,51;922,66;65,09;1741,01;1109,46;66,78
Podlehnik;655,07;385,19;48,27;565,12;429,17;20,85;443,08;335,33;12,50;496,11;359,97;5,00;614,19;333,21;6,88;496,69;313,01;13,80
Podvelka;997,56;644,15;130,16;788,84;642,46;105,97;700,69;621,20;118,88;669,83;559,33;101,06;766,35;575,85;146,18;745,42;608,50;135,25
Poljčane;2193,33;1521,03;125,97;1633,91;1330,29;125,61;2251,58;1940,04;128,13;1756,01;1446,69;123,54;1814,84;1522,35;112,50;1893,07;1574,87;104,95
Polzela;2960,04;2021,63;148,20;2426,30;2039,47;154,32;2428,43;2190,03;151,45;2394,04;2142,67;133,71;3932,66;3238,23;178,80;2412,84;2007,15;117,88
Postojna;9118,28;6651,19;1586,20;8214,05;7009,18;1021,58;7630,76;6656,26;1020,34;7291,03;6388,72;880,35;7093,17;6186,85;464,67;7841,89;6548,77;824,94
Prebold;2867,14;2094,43;179,12;2491,32;1927,14;123,12;3070,97;2020,96;131,28;3489,91;2259,79;131,99;3965,06;2072,23;151,78;3278,65;1746,25;100,74
Preddvor;1338,09;780,68;33,51;1095,17;856,03;37,02;1039,02;862,53;34,44;1044,06;845,96;28,55;1065,82;826,06;62,51;1074,01;866,91;77,90
Prevalje;2709,37;1682,31;277,58;2265,20;1798,13;210,64;2599,76;1812,11;226,29;2100,54;1794,53;194,24;3420,09;2787,36;296,92;2847,74;2150,94;283,03
Ptuj;15351,37;11816,81;695,20;14324,82;12202,09;314,04;15176,68;11023,07;444,44;13360,29;10513,73;366,01;12627,81;9316,76;2785,09;14491,33;10759,98;919,75
Puconci;2457,55;1569,20;212,50;2160,50;1795,67;230,77;2048,28;1689,92;212,94;2298,36;1641,84;118,25;2195,17;1721,29;99,49;2389,32;1683,47;93,34
Rače - Fram;2957,31;1836,62;207,11;3527,42;3068,92;297,78;3714,40;3254,26;230,94;3644,36;3046,12;201,81;3483,60;2911,96;193,13;3928,59;3163,33;217,25
Radeče;1978,47;1349,90;258,16;1969,76;1381,00;225,19;1928,51;1290,01;264,10;1654,03;1327,12;281,58;2499,03;1393,31;465,75;2508,53;1395,90;491,85
Radenci;2281,88;1511,88;210,82;2300,89;1635,38;186,93;2489,78;1958,07;207,86;3471,41;1920,44;113,59;2842,01;1870,62;104,25;10029,43;9082,14;840,06
